,chembl_id,smiles,rdkitmol,MACCS_fps,MACCS_ts,Morgan_fps,Morgan_ts,ShapeSimilarity,molecular_weight,n_hba,n_hbd,logp,TPSA,ro5_fulfilled
2,CHEMBL228561, COc1c(OC)c(OC)c(cc1)C1=Cc2ccccc2C1,<rdkit.Chem.rdchem.Mol object at 0x12c90eab0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e1f0>,0.2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df68040>,0.07692307692307693,0.5665191173861931,282.125594436,3,0,3.8091000000000026,27.69,True
3,CHEMBL2043045, COc1c(OCCN2CCCCC2)cc2c(C/C(=C/c3ccccc3)/C2=O)c1,<rdkit.Chem.rdchem.Mol object at 0x12c90eb20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e260>,0.4111111111111111,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df68120>,0.14606741573033707,0.3878599480100745,377.199093724,4,0,4.382300000000004,38.77,True
4,CHEMBL185799, COc1c(OC)cc2C(=O)C(=Cc2c1)C1CC[N+](C)(Cc2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x12c90eb90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e2d0>,0.41935483870967744,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df68200>,0.1411764705882353,0.39698733555026844,378.20637017609,3,0,4.3403000000000045,35.53,True
7,CHEMBL1774527, COc1ccc(cc1)C1=C(CCNC(=O)C)c2c3CCOc3ccc2C1,<rdkit.Chem.rdchem.Mol object at 0x12c90ece0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e420>,0.43956043956043955,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df684a0>,0.09574468085106383,0.4282630477522945,349.167793596,3,1,3.6232000000000024,47.56,True
8,CHEMBL87287, O[C@@H]1CCCC[C@H]1N1CCC2(CC1)C=Cc1c2cccc1,<rdkit.Chem.rdchem.Mol object at 0x12c90ed50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e490>,0.3977272727272727,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df68580>,0.060240963855421686,0.4525176479436105,283.19361442,2,1,3.350500000000002,23.47,True
9,CHEMBL1774526, COc1cccc(c1)C1=C(CCNC(=O)C)c2c3CCOc3ccc2C1,<rdkit.Chem.rdchem.Mol object at 0x12c90edc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e500>,0.43956043956043955,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df68660>,0.10309278350515463,0.28983281603694944,349.167793596,3,1,3.6232000000000024,47.56,True
10,CHEMBL1774522, CC(=O)NCCC1=C(Cc2ccc3OCCc3c12)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x12c90ee30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e570>,0.37362637362637363,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df68740>,0.07608695652173914,0.5097055168689963,319.15722891200005,2,1,3.614600000000003,38.33,True
13,CHEMBL1774518, CC(=O)NCCC1=C(Cc2ccccc2)Cc2ccc3OCCc3c12,<rdkit.Chem.rdchem.Mol object at 0x12c90ef80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e6c0>,0.37777777777777777,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df689e0>,0.07526881720430108,0.5619605309217403,333.172878976,2,1,3.7001000000000026,38.33,True
14,CHEMBL1774529, CC(C)c1cccc(c1)C1=C(CCNC(=O)C)c2c3CCOc3ccc2C1,<rdkit.Chem.rdchem.Mol object at 0x12c90eff0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e730>,0.3763440860215054,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df68ac0>,0.08080808080808081,0.4311231425134544,361.204179104,2,1,4.738000000000004,38.33,True
15,CHEMBL1774530, CC(=O)NCCC1=C(Cc2c1c1c(OCC1)cc2)c1ccc(cc1)C(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x12c90f060>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91e7a0>,0.3829787234042553,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df68ba0>,0.07291666666666667,0.4582024704151486,375.21982916800005,2,1,4.912100000000005,38.33,True
